15,13,13,13,13,13,13,13,13,13,13,13,13,13,16
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,7
15,13,13,8,13,8,13,13,13,13,13,14,-1,-1,7
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
3,-1,10,13,13,4,13,13,13,4,13,13,13,13,9
7,-1,-1,-1,-1,7,-1,-1,-1,7,-1,-1,-1,-1,7
7,13,13,16,-1,7,-1,2,-1,7,-1,2,-1,-1,7
7,-1,-1,7,-1,7,-1,7,-1,7,-1,7,-1,-1,7
7,-1,-1,7,-1,7,-1,7,-1,22,-1,7,-1,-1,7
7,-1,-1,7,-1,7,-1,7,-1,-1,-1,7,-1,-1,7
7,-1,-1,7,-1,7,-1,20,13,13,13,8,13,13,7
7,-1,-1,22,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,7
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7
20,13,13,8,13,13,13,13,13,13,13,13,13,13,21
