15,13,13,13,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,13,13,14
7,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1
7,-1,2,-1,7,-1,2,-1,-1,15,13,16,-1,2,-1,2,-1,15,13,16,-1,7,-1,-1,2
7,-1,7,-1,7,-1,7,-1,-1,7,-1,7,-1,7,-1,20,13,21,-1,7,-1,3,14,-1,7
7,-1,7,-1,22,-1,7,-1,-1,7,-1,7,-1,7,-1,-1,-1,-1,-1,7,-1,7,-1,-1,7
7,-1,7,-1,-1,-1,7,-1,-1,7,-1,7,-1,7,-1,-1,-1,-1,10,9,-1,20,16,-1,9
7,-1,20,13,13,13,8,13,13,21,-1,3,13,8,4,11,14,-1,-1,7,-1,-1,7,-1,7
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,7,-1,-1,-1,-1,17,13,13,21,-1,9
3,13,13,13,13,13,13,13,13,16,-1,17,-1,-1,17,14,-1,-1,-1,7,-1,-1,-1,-1,7
17,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,17,-1,15,21,-1,-1,2,-1,17,-1,10,11,11,9
17,13,13,16,-1,2,-1,-1,-1,-1,-1,17,-1,7,-1,-1,-1,7,-1,17,-1,-1,-1,-1,7
17,-1,-1,17,-1,17,-1,10,13,13,13,21,-1,7,-1,10,11,7,-1,20,16,-1,-1,-1,7
17,-1,10,21,-1,17,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,17,-1,-1,7,13,14,-1,9
17,-1,-1,-1,-1,17,-1,-1,10,13,13,13,13,13,16,-1,10,3,11,11,7,-1,-1,-1,7
17,-1,-1,2,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,20,16,-1,-1,7
17,-1,-1,7,-1,20,13,13,4,4,13,13,13,4,8,13,13,16,-1,-1,-1,20,16,-1,7
17,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,7,-1,-1,-1,-1,7,-1,7
17,-1,15,8,4,11,4,13,16,-1,-1,2,-1,-1,-1,2,-1,7,-1,15,13,13,7,-1,7
17,-1,7,-1,22,-1,22,-1,20,13,13,13,13,13,13,8,13,9,-1,7,-1,-1,7,-1,7
17,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,-1,-1,-1,7,-1,22,-1,-1,22,-1,7
17,-1,20,13,13,13,14,-1,-1,-1,-1,-1,7,-1,2,-1,-1,17,-1,-1,-1,-1,-1,-1,7
17,-1,-1,-1,-1,-1,-1,-1,15,13,16,-1,22,-1,7,-1,10,8,13,13,16,-1,0,1,7
17,-1,10,13,13,13,13,13,21,-1,7,-1,-1,-1,7,-1,-1,-1,-1,-1,7,-1,10,11,9
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,7,-1,-1,-1,-1,-1,7,-1,-1,-1,7
20,13,13,13,13,13,13,13,13,13,8,13,13,13,8,13,13,13,13,13,8,13,13,13,21
